Set, name,GC02,GC03,GC04,GC05,GC06,GC07,GC08,GC09,GC10,GC11,GC12,DC02,DC03,DC04,DC05,DC06,DC07,DC08,DC09,DC10,DC11,DC12,	Specialty,S1,S2,S3,S4,S5,S6,	SubA, SubB, TagA, TagB,	PriorityS,	PriorityT,OC02,OC03,OC04,OC05,OC06,OC07,OC08,OC09,OC10,OC11,OC12,RO02,RO03,RO04,RO05,RO06,RO07,RO08,RO09,RO10,RO11,RO12,	SetA, TT, Card Rating,oc_prob,total_points,dq_prob,pa_prob,sub_prob,xx_prob,submission,tag_team_save,SubX,SubY,TagX,TagY,DisplayName,Division
SuperSet '83,Mil Mascaras (needs update),DC,DC,OC,DC,OC/TT,OC,DC,OC,OC,OC,OC,B,A,B,A,A,Reverse,C,A,B,A,B,Aerial Acrobatics,12,8 P/A,10,10,14,8 P/A,"[""2""","""5""]","[""2""","""6""]",5,3,Cradle 8 P/A,Ropes,Flying Head Scissors 8 (xx),Aerial Acrobatics (S),Hip Lock 6,Rapid Fire Dropkicks 7,Bodyscissors 8,Flying Body Press 10,Aerial Acrobatics (S),Abdominal Stretch 7*,Ropes,Reverse Cradle 8 P/A,Flying Head Scissors 10,Flying Dropkicks 9,N/A,Bodyscissors 8,Aerial Acrobatics (S),Aerial Acrobatics (S),N/A,Flying Dropkicks 9,Reverse Sunset 7 P/A,Reverse Cradle 9 P/A,SuperSet '83,13.9%,11.1,66.7%,6.206,0.0%,7.4%,3.7%,5.6%,27.8%,41.7%,2,5,2,6,MilMas,Regional Champion
SuperSet '83,Mil Mascaras,DC,DC,OC,DC,OC/TT,OC,DC,OC,OC,OC,OC,B,A,B,A,A,Reverse,C,A,B,A,B,Aerial Acrobatics,12,8 P/A,10,10,14,8 P/A,"[""2""","""5""]","[""2""","""6""]",5,3,Cradle 8 P/A,Ropes (xx),Flying Head Scissors 8,Aerial Acrobatics (S),Hip Lock 6,Rapid Fire Dropkicks 7,Bodyscissors 8,Flying Body Press 10,Aerial Acrobatics (S),Abdominal Stretch 7*,Ropes,Reverse Cradle 8 P/A,Flying Head Scissors 10,Flying Dropkicks 9,N/A,Bodyscissors 8,Aerial Acrobatics (S),Aerial Acrobatics (S),N/A,Flying Dropkicks 9,Reverse Sunset 7 P/A,Reverse Cradle 9 P/A,SuperSet '83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MilMas,Regional Champion
SuperSet '83,Wahoo McDaniel (needs update),DC,OC,DC,DC,DC,OC,OC/TT,OC,OC,OC,DC,A,C,A,B,A,B,A,B,A,B,Reverse,Indian Sleeper,12,12 P/A,12,9,9,10,"[""2""","""6""]","[""8""","""12""]",4,3,Ropes,Piledriver 12,Indian Sleeper (S),Slam Into Turnbuckle 7,Apache Backbreaker 9,Tomahawk Chop To Neck 8,Indian Leglock 6,Body Slam 5,Inside Back Cradle 7,Wrist Lock Take-down 5 (xx),Boston Crab 7*,Reverse Sunset 10 P/A,N/A,N/A,Back Drop 6,Tomahawk Chops 8,Spin Under Take-down 7,Tomahawk Chops 8,N/A,Shoulder Smash 9,Indian Sleeper (S),N/A,SuperSet '83,13.9%,8.7,61.1%,5.098,0.0%,0.9%,1.7%,3.4%,41.7%,41.7%,2,6,8,12,WahMc,Veteran
SuperSet '83,Wahoo McDaniel,DC,OC,DC,DC,DC,OC,OC/TT,OC,OC,OC,DC,A,C,A,B,A,B,A,B,A,B,Reverse,Indian Sleeper,12,12*,12,9,9*,10,"[""2""","""6""]","[""8""","""12""]",4,3,Ropes,Piledriver 12,Indian Sleeper (S),Slam Into Turnbuckle 7,Apache Backbreaker 9,Tomahawk Chop To Neck 8,Indian Leglock 6,Body Slam 5,Inside Back Cradle 7,Wrist Lock Take-down 5 (xx),Boston Crab 7*,Reverse Sunset 10 P/A,N/A,N/A,Back Drop 6,Tomahawk Chops 8,Spin Under Take-down 7,Tomahawk Chops 8,N/A,Shoulder Smash 9,Indian Sleeper (S),N/A,SuperSet '83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WahMc,Veteran
SuperSet '83,Pedro Morales,OC,OC,DC,DC,OC,OC,DC,OC/TT,OC,OC,DC,B,A,B,C,A,A,B,Reverse,A,B,A,Boston Crab,9*,10,11,11,10*,9*,"[""2""","""4""]","[""7""","""12""]",4,2,Body Slam 9,Turnbuckle Smash 9,Boston Crab (S),Hip Roll 6,Forearm Smashes 8,Standing Dropkick 7,Continuous Forearms 8 (xx),Punch To Face 9,Flying Body Press 9 P/A,Kick To Midsection 7,Ropes,Flying Body Press 9 P/A,Revese Sunset 8 P/A,N/A,Forearm To Midsection 7,Forearm To Upper Jaw 8,Dropkicks 7,N/A,N/A,Kick To Rib Cage 8,Dropkicks 7,N/A,SuperSet '83,11.1%,9.8,63.9%,5.759,0.0%,5.5%,2.7%,8.9%,16.7%,58.3%,2,4,7,12,PedMor,Regional Champion
SuperSet '83,Blackjack Mulligan,OC,DC,OC,DC,OC,OC,DC,OC/TT,DC,DC,OC,B,Reverse,B,A,A,A,A,A,B,B,C,Brain Claw,15,8 P/A,10,10,10*,8,"[""2""","""5""]","[""2""","""8""]",3,2,Elbow Jab To Teeth 6,Shoulder Claw 9,Ram Head Into Ringpost 10,Stomp Opponent's Face 7,Bearhug 6 (xx),Stomach Claw 7,Grinding Headlock 6,Brain Claw (S),Arm Drag And Twist 6,Single Hand Chokehold 10,Ropes,Bodyslam Onto Head 10,N/A,N/A,N/A,Neck Claw 9*,Shoulder Smash 6,Rib Cage Claw 8,N/A,Brain Claw (S),Throw Out Of Ring (DQ),N/A,SuperSet '83,11.1%,7.7,55.6%,4.871,0.1%,1.1%,1.3%,7.7%,27.8%,72.2%,2,5,2,8,BlackMul,Veteran
SuperSet '83,Magnificent Don Muraco,DC,DC,OC/TT,DC,OC,OC,OC,DC,OC,DC,DC,B,B,A,Reverse,A,A,B,C,B,A,A,Hawaiian Hammer,10,14,10,12,12 P/A,10 P/A,"[""2""","""5""]","[""6""","""12""]",5,2,Ropes,Spinning Toe Hold 10,Figure-four Leglock 7*,Frontal Plex 8 (xx),Kneedrop To Neck 10,Flying Elbowsmash 6,Head Plunge To Stomach 6,Shoulder Smash 7,Hawaiian Hammer (S),Rear Chinlock 7,Leg Dive Take Down 8,N/A,Throw Out Of Ring (DQ),N/A,Kneedrop Off Top Rope 10,Shoulder Smash 6 P/A,Body Slam 5,Shoulder Smash 7 P/A,Cross Body Block 6,Choke Against Ropes 8,N/A,N/A,SuperSet '83,8.3%,10.3,61.1%,5.470,0.1%,2.2%,5.1%,6.8%,27.8%,72.2%,2,5,6,12,MagMur,Regional Champion
Superset '83,Cowboy Bob Orton,DC,OC,OC,OC/TT,OC,OC,DC,DC,DC,OC,OC,A,B,Reverse,A,B,B,A,B,C,A,A,Deadly Superplex,12,10 P/A,10 P/A,11,11,12,"[""2""","""5""]","[""2""","""6""]",4,2,Ropes,Longhorn Sleeper 9*,Reverse Spinecrusher 8,Elbow Drop 7 (xx),Figure-four Leglock 5,Roundhouse Forearms 8,Dropkicks 6,Texas Body Slam 7,Deadly Superplex (S),Bearhug 10*,Atomic Skull Crusher 10,Kick To Groin 6,N/A,Deadly Superplex (S),N/A,Dropkick Into Ringpost 6,Texas Body Slam 8,N/A,Bearhug 8,Longhorn Sleeper 9*,N/A,N/A,Superset '83,11.1%,9.2,63.9%,5.297,0.0%,1.8%,7.2%,7.1%,27.8%,41.7%,2,5,2,6,BobOr,Midcard
SuperSet '83,Ken Patera (MISSING PAGE),OC,DC,OC,OC,OC/TT,OC,DC,DC,OC,DC,DC,B,C,Reverse,B,B,A,A,A,B,A,A,Swinging Neckbreaker,9*,12,12,10,10,10*,"[""2""","""5""]","[""7""","""12""]",4,3,Boot To Stomach 10,Boston Crab 6*,Grind Face To Ringpost 8,Swinging Neckbreaker (S),Double Elbow Smash 7,Power Slam 7,Throat Smash Into Ropes 9,Backbreaker 8 (xx),Knee Lift To Midsection 6,Foreign Objects 10,Ropes,Reverse Cradle 9 P/A,N/A,N/A,Spin Under Takedown 7,N/A,Flying Elbow Smash 8,Power Slam 6,Cross Body Block 9,N/A,N/A,Throw Out Of Ring (DQ),SuperSet '83,13.9%,9.3,61.1%,5.458,0.0%,0.0%,5.7%,6.8%,27.8%,58.3%,2,5,7,12,KenPa,Midcard
SuperSet '83,Rowdy Roddy Piper,OC,OC,DC,DC,DC,OC,OC,OC/TT,OC,DC,OC,A,B,C,A,B,B,A,B,A,A,Reverse,Figure Four Leglock,8*,9,10,9,8*,14,"[""2""","""5""]","[""2""","""8""]",3,2,Ropes,Choke 6,Maim With Foreign Object 9,Kneedrop To Rib Cage 8,Arm Drag 6,Right Hand Smash 8,Aerial Body Press 7,Figure Four Leglock (S),Sleeper 9 P/A,Standing Leglock 7 (xx),Full Nelson 7,N/A,Sleeperhold 6 P/A,N/A,N/A,Kick To Abdominal Area 6,Body Press 8,Shoulder Flip Into Post 6,Smash To Pre-frontal Lobe 6,N/A,Throw Out Of Ring (DQ),N/A,SuperSet '83,11.1%,8.0,61.1%,5.171,0.1%,5.2%,2.3%,3.4%,27.8%,72.2%,2,5,2,8,RodPip,Young Star
SuperSet '83,Ivan Putski,DC,DC,OC/TT,DC,OC,OC,DC,OC,DC,OC,OC,A,B,A,C,A,A,Reverse,B,A,B,A,Polish Hammer,9,10 P/A,11,8 P/A,10,12,"[""2""","""4""]","[""8""","""12""]",3,2,Ropes,Forearm Smash To Face 8,Ram Head Into Turnbuckle 7,Winding Headlock 6,Full Nelson 7,Power Body Slam 8,Stomp On Head 7,Polish Hammer (S),Reverse Necklock 8,Dropkicks 9 (xx),Cross Ankle Pickup 10,Throw Out Of Ring (DQ),N/A,Body Slam 8,N/A,Front Body Block 8,Cross Body Block 9,Side Body Block 7,N/A,Bearhug 8*,N/A,N/A,SuperSet '83,8.3%,8.3,58.3%,5.357,0.0%,2.2%,0.1%,3.2%,16.7%,41.7%,2,4,8,12,IvanPut,Midcard
SuperSet '83,Harley Race (NEEDS UPDATE),DC,OC,DC,DC,OC/TT,OC,DC,OC,OC,OC,OC,B,B,C,B,A,A,A,B,Reverse,B,A,Piledriver,10,14 P/A,9,10,9 P/A,11,"[""2""","""5""]","[""7""","""12""]",4,3,Head Lock 9,Indian Death Lock 9*,Elbow Smashes 6,Back Suplex 8,Head Scissors 7 (xx),Ram Into Turnbuckle 7,Piledriver (S),Eye Gouge 8 P/A,Pull Hair And Slug 6,Driving Head Butt 8,Ropes,N/A,N/A,N/A,Jump Off Top Rope 10,Shoulder Smash 8,Catapult Into Turnbuckle 7,Power Head Butt 6,Cross Body Block 7,Shoudler Smash 8,Body Slam Outside Ring (DQ),N/A,SuperSet '83,13.9%,9.6,63.9%,5.552,0.1%,10.1%,3.5%,8.9%,27.8%,58.3%,2,5,7,12,HarlRa,World Champion
SuperSet '83,Harley Race,OC,DC,DC,DC,OC/TT,OC,DC,OC,OC,OC,OC,B,B,C,B,A,A,A,B,Reverse,B,A,Piledriver,10,14 P/A,9,10,9 P/A,11,"[""2""","""5""]","[""7""","""12""]",5,3,Head Lock 9,Indian Death Lock 9*,Elbow Smashes 6,Back Suplex 8,Head Scissors 7 (xx),Ram Into Turnbuckle 7,Piledriver (S),Eye Gouge 8 P/A,Pull Hair And Slug 6,Driving Head Butt 8,Ropes,N/A,N/A,N/A,Jump Off Top Rope 10,Shoulder Smash 8,Catapult Into Turnbuckle 7,Power Head Butt 6,Cross Body Block 7,Shoudler Smash 8,Body Slam Outside Ring (DQ),N/A,SuperSet '83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HarlRa,World Champion
SuperSet '83,Dusty Rhodes (NEEDS UPDATE),OC,DC,OC,OC/TT,OC,OC,DC,OC,DC,DC,OC,B,A,Reverse,A,B,A,B,A,C,A,B,Piledriver,15 P/A,8 P/A,9,8,9,12,"[""2""","""5""]","[""2""","""7""]",5,2,Ropes,Slash With Foreign Object 9,Kick To Groin 7,Piledriver (S),Spleen Cruncher 6,Face First Body Slam 7,Loaded Elbow 7,Arm Drag 8 (xx),Stomp On Face 8 P/A,American Dream Strut 10,Repeated Chokeholds 10,N/A,Hurl Into Crowd (DQ),Shoulder Smash 6 P/A,N/A,Elbow Smash To Face 7,Elbow Smash To Throat 8,Wrap Around Chokehold 7,N/A,Shoulder Smash 6 P/A,N/A,Throw Out Of Ring (DQ),SuperSet '83,11.1%,10.7,66.7%,5.723,0.2%,8.3%,0.0%,7.4%,27.8%,58.3%,2,5,2,7,DustRho,Regional Champion
SuperSet '83,Dusty Rhodes,OC,DC,OC,OC/TT,OC,OC,DC,DC,DC,DC,OC,B,A,Reverse,A,B,A,B,A,C,A,B,Piledriver,15 P/A,8 P/A,9,8,9,12,"[""2""","""5""]","[""2""","""7""]",5,2,Ropes,Knee-Joint Scissorlock 9*,Kick To Groin 7,Piledriver (S),Spleen Cruncher 6,Face First Body Slam 7,Loaded Elbow 7,Arm Drag 8 (xx),Stomp On Face 8 P/A,American Dream Strut 10,Repeated Chokeholds 10,N/A,Hurl Into Crowd (DQ),Shoulder Smash 6 P/A,N/A,Elbow Smash To Face 7,Elbow Smash To Throat 8,Wrap Around Chokehold 7,N/A,Shoulder Smash 6 P/A,N/A,Throw Out Of Ring (DQ),SuperSet '83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DustRho,Regional Champion
